,fecha,estado,casos
561,2020-01-18,18,0
562,2020-01-18,19,0
563,2020-01-18,20,0
564,2020-01-18,21,0
565,2020-01-18,22,0
566,2020-01-18,23,0
567,2020-01-18,24,0
568,2020-01-18,25,0
569,2020-01-18,26,0
570,2020-01-18,27,0
571,2020-01-18,28,0
572,2020-01-18,29,0
573,2020-01-18,30,0
574,2020-01-18,31,0
575,2020-01-18,32,0
576,2020-01-19,1,0
577,2020-01-19,2,0
578,2020-01-19,3,0
579,2020-01-19,4,0
580,2020-01-19,5,0
581,2020-01-19,6,0
582,2020-01-19,7,0
583,2020-01-19,8,0
584,2020-01-19,9,0
585,2020-01-19,10,0
586,2020-01-19,11,0
587,2020-01-19,12,0
588,2020-01-19,13,0
589,2020-01-19,14,0
590,2020-01-19,15,0
591,2020-01-19,16,0
592,2020-01-19,17,0
593,2020-01-19,18,0
594,2020-01-19,19,0
595,2020-01-19,20,0
596,2020-01-19,21,0
597,2020-01-19,22,0
598,2020-01-19,23,0
599,2020-01-19,24,0
600,2020-01-19,25,0
601,2020-01-19,26,0
602,2020-01-19,27,0
603,2020-01-19,28,0
604,2020-01-19,29,1
605,2020-01-19,30,0
606,2020-01-19,31,0
607,2020-01-19,32,0
608,2020-01-20,1,0
609,2020-01-20,2,0
610,2020-01-20,3,0
611,2020-01-20,4,0
612,2020-01-20,5,0
613,2020-01-20,6,0
614,2020-01-20,7,0
615,2020-01-20,8,0
616,2020-01-20,9,0
617,2020-01-20,10,0
618,2020-01-20,11,0
619,2020-01-20,12,0
620,2020-01-20,13,0
621,2020-01-20,14,0
622,2020-01-20,15,0
623,2020-01-20,16,0
624,2020-01-20,17,0
625,2020-01-20,18,0
626,2020-01-20,19,0
627,2020-01-20,20,0
628,2020-01-20,21,0
629,2020-01-20,22,0
630,2020-01-20,23,0
631,2020-01-20,24,0
632,2020-01-20,25,0
633,2020-01-20,26,0
634,2020-01-20,27,0
635,2020-01-20,28,0
636,2020-01-20,29,2
637,2020-01-20,30,0
638,2020-01-20,31,0
639,2020-01-20,32,0
640,2020-01-21,1,0
641,2020-01-21,2,0
642,2020-01-21,3,0
643,2020-01-21,4,0
644,2020-01-21,5,0
645,2020-01-21,6,0
646,2020-01-21,7,0
647,2020-01-21,8,0
648,2020-01-21,9,0
649,2020-01-21,10,0
650,2020-01-21,11,0
651,2020-01-21,12,0
652,2020-01-21,13,0
653,2020-01-21,14,0
654,2020-01-21,15,1
655,2020-01-21,16,0
656,2020-01-21,17,0
657,2020-01-21,18,0
658,2020-01-21,19,0
659,2020-01-21,20,0
